experiment,best_C,cv_best_f1,accuracy,macro_f1,precision_pos,recall_pos,f1_pos
Q1 | meta only,1.0,0.7161692573427624,0.849738219895288,0.7225654115542732,0.7380378657487091,0.4192412983965585,0.5347300162114977
Q1 | text only,10.0,0.6030575123376096,0.809786548530004,0.6041131609077872,0.6074766355140186,0.2160735236605397,0.3187653252560219
Q1 | meta + text,0.1,0.7232981624892689,0.8505436971405558,0.7261435109821144,0.7353237168735324,0.4286272976143919,0.5415688696726374
Q2 | meta only,10.0,0.6481653304228592,0.6592653061224489,0.6487451577646477,0.6693802521008403,0.7548119632810186,0.7095337508698678
Q2 | text only,1.0,0.6220760150089065,0.6308571428571429,0.6216001530799846,0.6505666486778198,0.7139472904945218,0.6807849781166172
Q2 | meta + text,1.0,0.6692329492832879,0.6754285714285714,0.6684759253051606,0.6910591471801926,0.7438554930411608,0.7164860239589276
